Layer,Station Name,Address,City,State,Zip,County,Service Type,Status,Test Center ID / Station ID,Dealer # / DNR License,Phone,Email,Contact Name,Signed Contract (Y/N),Date of Install,Comments
Current Stations,Gary Rome Kia,809 Enfield Street,Enfield,CT,06082,Hartford,OBD Plus,,ST0000014,,(860) 253-4753,ivy@garyromekia.com,Jonathan Rivera - Mgr,y,11/8/21,Unit #: CT2100065
Current Stations,Bob Valenti Chevrolet - Olds,72 Jerry Brown Road,Mystic,CT,06355,New London,OBD Plus,,ST0000034,,(860) 536-4931,tomwalsh@bobvalentiautomall.com,Tom Walsh - Svc Mgr,Y,5/10/21,Updated Staffing Plan: 3/25/2026 | Bay Door: 14' | Unit #: CT2100061
Current Stations,Brustolon Buick GMC,47 Stonington Road,Mystic,CT,06355,New London,Full Service,,ST0000112,,(860) 536-2626,dcasey@brustolon.com,Dan Casey - Svc Mgr                     860-536-4931,Y,12/3/21,Updated Staffing Plan: 3/24/2026 | Unit #: CT2100021
Current Stations,Middletown Toyota Inc,580 Newfield Street,Middletown,CT,06457,Middlesex,OBD Plus,,ST0000132,,(860) 347-7294,fabba72@yahoo.com,Frank Abbatemarco,Y,11/26/21,Unit #: CT2100098
Current Stations,Hartford Toyota Superstore,135 West Service Road,Hartford,CT,06120,Hartford,OBD Plus,,ST0000229,,(860) 278-5411,service@hartfordtoyota.com,"Chip Benyi - Director, Service & Parts",Y,10/9/21,Updated Staffing Plan: 6/15/2026 | Bay Door: 10' | Unit #: CT2100036
Current Stations,Midas - Bloomfield,41 Tunxis Avenue,Bloomfield,CT,06002,Hartford,OBD Plus,,ST0000326,,(860) 243-9430,bloomfieldmidas@gmail.com,Aaron Berube - Mgr/Inspector                 John Amatruda - Svc Mgr,y,10/29/21,Unit #: CT2100183
Current Stations,Firestone - Bloomfield,371 Cottage Grove Road,Bloomfield,CT,06002,Hartford,OBD Plus,,ST0000329,R685,(860) 243-8213,robertsjennifer@bfusa.com,Andrew Bass - Sta Mgr,Y,12/20/21,7/24/24 - received updated sta info | Updated Staffing Plan: 3/25/2026 | Bay Door: 10' | Unit #: CT2100145 | Secondary Email: szimmerman@bfrc.com
Current Stations,Laurel Automotive,8 Herman Drive,Simsbury,CT,06070,Hartford,Full Service,,ST0000359,,(860) 658-7124,laurelauto@outlook.com,John Brucker,Y,11/1/21,Updated Staffing Plan: 3/12/2026 | Unit #: CT2100008
Current Stations,Midas - Canton,66 Albany Turnpike,Canton,CT,06019,Hartford,OBD Plus,,ST0000434,,(860) 693-1721,midascanton@gmail.com,Brad Voglesong - Sta Mgr,Y,,Updated Staffing Plan: 2/4/2026 | Bay Door: 12' | Unit #: CT2100054
Current Stations,Midas of Farmington,1361 Farmington Avenue,Farmington,CT,06032,Hartford,OBD Plus,,ST0000493,,(860) 676-0140,midasfarmington@gmail.com,Greg Brown - Mgr                          Scott Macri - Asst Mgr,Y,,Unit #: CT2100102 | Secondary Email: gbrown8262@gmail.com
Current Stations,Farmington Motor Sports Inc,146 Brickyard Road,Farmington,CT,06032,Hartford,OBD Plus,,ST0000520,,(860) 677-9074,fmsmarty@yahoo.com,Martin Vibert - Sta Mgr,Y,,Unit #: CT2100097
Current Stations,Firestone - Glastonbury,139 Putnam Blvd,Glastonbury,CT,06033,Hartford,OBD Plus,,ST0000525,L3363,(860) 633-4045,jdean1994@gmail.com; robertsjennifer@bfusa.com,Brian Mierez - Sta Mgr,y,,Updated Staffing Plan: 3/25/2026 | Bay Door: 10' | Unit #: CT2100010 | Secondary Email: szimmerman@bfrc.com
Current Stations,Kensington Auto Service LTD,89 Harding Street,Berlin,CT,06037,Hartford,OBD Plus,,ST0000557,,(860) 829-7377,kensingtonauto1@sbcglobal.net,Lenny & Justin Tubbs -owners,Y,,6/16/21 - Jack spoke with them and let them know what will be required of  them going forward.  If they comply they will be allowed to remain in the program | Updated Staffing Plan: 2/6/2026 | Unit #: CT2100083 | Secondary Email: kensingtonauto3@yahoo.com
Current Stations,Firestone - Manchester,1145 Tolland Turnpike,Manchester,CT,06040,Hartford,OBD Plus,,ST0000616,R6361,(860) 646-1761,robertsjennifer@bfusa.com,Chris Coombs - Svc Mgr,Y,,Updated Staffing Plan: 3/25/2026 | Bay Door: 11' | Unit #: CT2100015 | Secondary Email: szimmerman@bfrc.com
Current Stations,Firestone - New Britain,55 Chestnut Street,New Britain,CT,06051,Hartford,OBD Plus,,ST0000697,R6381,(860) 229-0348,robertsjennifer@bfusa.com,Ray Jones - Sta Mgr,Y,,Updated Staffing Plan: 3/26/2026 | Bay Door: 13' | Unit #: CT2100108 | Secondary Email: szimmerman@bfrc.com
Current Stations,Farm Car Care Center Inc,11 Windermere Avenue,Vernon,CT,06066,Tolland,OBD Plus,,ST0000790,,(860) 875-3370,farmcarcare@gmail.com,Vincent Pavelack or Michael,Y,,Unit #: CT2100080 | Secondary Email: baumer@sbcglobal.net
Current Stations,Firestone - Enfield,33 Palomba Drive,Enfield,CT,06082,Hartford,OBD Plus,,ST0000963,R6390,(860) 265-4292,robertsjennifer@bfusa.com,Anthony Trotta - Sta Mgr,Y,,Updated Staffing Plan: 3/25/2026 | Bay Door: 10' | Unit #: CT2100037 | Secondary Email: szimmerman@bfrc.com
Current Stations,Suburban Tire and Auto Service,65 Freshwater Boulevard,Enfield,CT,06082,Hartford,OBD Plus,,ST0000986,,(860) 741-2204,suburbantireandauto@gmail.com,Terry Beusee - Sta Mgr,Y,,Bay Door: 10' | Unit #: CT2100060 | Secondary Email: wilbrahamtire@live.com
Current Stations,Small Town Auto Repair,8 Bridge Street,East Windsor,CT,06088,Hartford,OBD Plus,,ST0001010,,(860) 623-9700,small.town.auto.repair@gmail.com,Michael Peabody - Sta Mgr,Y,,exterior paint needed | Unit #: CT2100063
Current Stations,Scatas Auto and Truck Repairs Inc,535 Spring Street,Windsor Locks,CT,06096,Hartford,Full Service,,ST0001056,,(860) 623-0449,scatasweb@gmail.com,"Joseph Scata, owner",Y,,Updated Staffing Plan: 3/13/2026 | Unit #: CT2100027
Current Stations,Herbs Auto Electric Inc,16 Tolland Street,East Hartford,CT,06108,Hartford,Full Service,,ST0001193,,(860) 289-5421,herbsautoelect@aol.com,Thomas Ciarlo - Sta Mgr                                 Joe & Marie Tatsciore - owners,Y,,"2nd unit requested, needs DMV approval | Unit #: CT2100130"
Current Stations,Wethersfield Automotive LLC,404 Silas Deane Highway,Wethersfield,CT,06109,Hartford,OBD Plus,,ST0001216,,(860) 563-2651,wethersfieldauto@aol.com,Shawn Derwin - Sta Mgr,Y,,Unit #: CT2100079
Current Stations,Midas of West Hartford,918 New Britain Avenue,West Hartford,CT,06110,Hartford,OBD Plus,,ST0001253,R6558,(860) 953-0171,midaswesthartford@gmail.com,Juan Castro - Sta Mgr    Sonia Lorenzo - Asst Mgr,Y,,"9/10/24 - new ownership application received, no DNR license | 10/1/24 - DMV verified change of officers and ok to reinstate.  Eventually the current partnership will dissolve and new DNR license will be obtained | Unit #: CT2100100 | Secondary Email: westhartford.midas@fonseca-group.com"
Current Stations,Mirabelli Automotive LLC,1816 Berlin Turnpike,Wethersfield,CT,06109,Hartford,Full Service,,ST0001267,,(860) 563-3445,vincec@mirabelliautomotive.com,Vincent Cocolla - Svc Mgr (860) 953-5029,Y,,limited parking | Updated Staffing Plan: 3/10/2026 | Bay Door: 10' | Unit #: CT2100033 | Secondary Email: johnd@mirabelliautomotive.com
Current Stations,Modern Tire and Auto Service,3455 Berlin Turnpike,Newington,CT,06111,Hartford,OBD Plus,,ST0001284,,(860) 666-2404,newington@moderntirect.com,Joseph Fiumara - Sta Mgr      Robert Amenta - owner,Y,,excessive cars in lot and emissions spots | Updated Staffing Plan: 3/4/2026 | Bay Door: 12' | Unit #: CT2100101 | Secondary Email: mtireinc@netscape.net
Current Stations,Modern Tire and Auto Service,898 Farmington Ave,Farmington,CT,06032,Hartford,OBD Plus,,ST0001294,,(860) 677-5454,farmington@moderntirect.com,Brian Holland - Sta Mgr,Y,,12/22/25 - unit moved to new bay  12/31/25 - passed DMV ATP | Updated Staffing Plan: 3/4/2026 | Bay Door: 12' | Unit #: CT2100090 | Secondary Email: mtireinc@netscape.net
Current Stations,B and S Automotive Inc,127 Meadow Street,Hartford,CT,06114,Hartford,OBD Plus,,ST0001299,,(860) 296-9290,bucc79@aol.com,Frank Buccheri - owner,Y,,Bay Door: 10' | Unit #: CT2100039
Current Stations,Nutmeg Auto Service Inc,3490 Main Street,Hartford,CT,06120,Hartford,OBD Plus,,ST0001401,,(860) 522-8724,gladue860@gmail.com,Jay Johnson - Sta Mgr,Y,,"older garage, dated, dirty | Updated Staffing Plan: 3/9/2026 | Bay Door: 10' | Unit #: CT2100013"
Current Stations,Midas of Hartford,65 Weston Street,Hartford,CT,06120,Hartford,OBD Plus,,ST0001423,,(860) 246-4828,midasnorthhartford@gmail.com,Juan Castro - Mgr                        Aaron Berube - Asst Mgr,Y,,Unit #: CT2100041
Current Stations,T and B Motor Sales and Service Inc,460 Storrs Road,Mansfield,CT,06250,Tolland,Full Service,,ST0001511,,(860) 423-1187,alex@tandbmotors.com,Alex Sanchez - Towing Mgr,Y,,"Bay Door: 9' 4"" | Unit #: CT2100045 | Secondary Email: deanna@tandbmotors.com"
Current Stations,Firestone - New London,45 Truman Street,New London,CT,06320,New London,OBD Plus,,ST0001615,R6369,(860) 443-4361,young524.jy@gmail.com; robertsjennifer@bfusa.com,Jon Young - Sta Mgr,1615,,Bay Door: 12' | Unit #: CT2100153 | Secondary Email: szimmerman@bfrc.com
Current Stations,Midas Auto Service,170 Route 12,Groton,CT,06340,New London,OBD Plus,,ST0001660,,(860) 445-8129,midasgroton@gmail.com,Candi Smith - Mgr,Y,,Updated Staffing Plan: 3/26/2026 | Unit #: CT2100056
Current Stations,Meineke - Groton,266 Bridge Street,Groton,CT,06340,New London,OBD Plus,,ST0001662,,(860) 445-6743,dwick15490@aol.com,Mark Winslow - owner             Larry Gormick - Mgr,Y,,Updated Staffing Plan: 6/25/2026 | Bay Door: 14' | Unit #: CT2100062
Current Stations,Firestone - Norwich,251 West Main Street,Norwich,CT,06360,New London,OBD Plus,,ST0001767,R6391,(860) 889-9897,dawnkutz@aol.com; dcalderon3091@yahoo.com; robertsjennifer@bfusa.com,Daniel Caleron - Sta Mgr                Dawn Kutz - inspector,y,,Bay Door: 10' | Unit #: CT2100155 | Secondary Email: szimmerman@bfrc.com
Current Stations,All Pro Automotive,147 Boston Post Road,Old Lyme,CT,06371,New London,Full Service,,ST0001799,,(860) 434-2265,aptolct@aol.com,Jeff Graybill - Mgr,Y - under served,,Updated Staffing Plan: 6/15/2026 | Bay Door: 10' | Unit #: CT2100237
Current Stations,Pennells Auto Center LLC,341 Norwich New London Tpke,Uncasville,CT,06382,New London,OBD Plus,,ST0001825,,(860) 848-2400,pennellsauto@gmail.com,Joe Pennell - owner,Y - under served,,Updated Staffing Plan: 2/4/2026 | Unit #: CT2100 173
Current Stations,Branford Auto Center,323 East Main Street,Branford,CT,06405,New Haven,Full Service,,ST0001944,,(203) 481-6572,a477815@aol.com,Alphonse Paolillo - Sta Mgr/owner,Y,,"no masks upon arrival, test viewable only thru door (windows and posters on both) bathrrom sink inop,no soap, no papertowels, no station sign outside | Updated Staffing Plan: 4/16/2026 | Bay Door: 9' 6"" | Unit #: CT2100051"
Current Stations,Modern Tire And Auto Service,514 West Main Street,Cheshire,CT,06410,New Haven,OBD Plus,,ST0001970,,(203) 272-3296,cheshire@moderntirect.com,Eric Bonaiuto -Team Lead,Y,,"9/22/21 - the building and/or property is having some construction done and van cannot access garage today, delivery to be rescheduled | Updated Staffing Plan: 3/17/2026 | Bay Door: 10' | Unit #: CT2100208 | Secondary Email: mtireinc@netscape.net"
Current Stations,D and R Automotive LLC,32 Nod Place,Clinton,CT,06413,Middlesex,Full Service,,ST0002018,,(860) 669-1075,shellanepc@sbcglobal.net,Clifford Gasparini - owner,Y,,"limited parking, wait area dirty, restroom dirty | Updated Staffing Plan: 7/14/2026 | Unit #: CT2100032"
Current Stations,Desmonds Auto Sales,373 Lebanon Avenue,Colchester,CT,06415,New London,OBD Plus,,ST0002026,,(860) 537-1140,mike@desmondsauto.com,Bill Desmond - owner,Y - under served,,restroom could be cleaner | Updated Staffing Plan: 2/4/2026 | Bay Door: 10' | Unit #: CT2100195
