Layer,Station Name,Address,City,State,Zip,County,Service Type,Status,Test Center ID / Station ID,Dealer # / DNR License,Phone,Email,Contact Name,Signed Contract (Y/N),Date of Install,Comments
Out of Program,A & S Automotive LLC,402 Main Street,East Haven,CT,06512,New Haven,,,,U8417,(203) 503-2439,,,,,disconnected | disconnected
Out of Program,Aamity Car & Truck,129 Whalley Ave,New Haven,CT,06511,,,,,,(203) 776-7208,,,,,"dirty station, small pkg lot, Bernardo refused to allow a look inside stating it was ""too messy"" | dirty station, small pkg lot, Bernardo refused to allow a look inside stating it was ""too messy"""
Out of Program,Abate Auto Body and Collision,610 Migeon Ave,Torrington,CT,06790,Litchfield,OBD Plus,,ST0003939,,8604893975,abateauto@sbcglobal.net,,,,
Out of Program,Abid LLC dba Nova Automotive,284 Whalley Avenue,New Haven,CT,06511,New Haven,VIN Only,,CTVIN7499,,2032865617,,,,,
Out of Program,Ace Tire Company,861 Ethan Allen Hwy,Ridgefield,CT,06877,,,,,,(203) 438-4042,,,,,"limited space, doesn’t want to use a bay for testing only | limited space, doesn’t want to use a bay for testing only"
Out of Program,Acme Auto Leasing LLC,440 Washington Avenue,North Haven,CT,06473,New Haven,Test and Repair,,ST0005078,,2032346850,,,,,"3/26 - on site visit but they are no longer in program, stopped doing inspections in January | 3/26 - on site visit but they are no longer in program, stopped doing inspections in January"
Out of Program,Advance Wheels of Technology,650 Coe Avenue,East Haven,CT,06512,New Haven,VIN Only,,FL0001013,,2038008064,jason@advancedwheels.com; christian@advancedwheels.com,,,,"RCV'D EMAIL 10/25, 11/3 - she wants someone to go over contract page by page and walk her through what she is signing. Not sure if she wants to continue | RCV'D EMAIL 10/25, 11/3 - she wants someone to go over contract page by page and walk her through what she is signing. Not sure if she wants to continue"
Out of Program,Affordable Automotive,32 Executive Center Drive,New Milford,CT,06776,U6125,,,,,(860) 359-2266,rose@affordableautomotive.com,,,,"newer site is nice and clean, plenty of parking aand spacious waiting area but refuses to do Saturdays, no masks | newer site is nice and clean, plenty of parking aand spacious waiting area but refuses to do Saturdays, no masks"
Out of Program,All Car Care,628 Lakewood Road,Waterbury,CT,06704,New Haven,U7748,,,,(203) 573-5400,,,,,disconnected | disconnected
Out of Program,Amity Motors,220 Amity Rd,Woodbridge,CT,06525,New Haven,Full Service,,ST0006034,,2039070041,amity110@netscape.net,,,,"8/18/21 - owner is on vacation, will complete agreement when able to use internet | 8/18/21 - owner is on vacation, will complete agreement when able to use internet"
Out of Program,Annex Auto Repair,166 Main St Annex,E Haven,CT,06512,New Haven,,,ST0006003,,2034690812,annexautorepair@comcast.net,,,,8/9/21 - not sure if he wants to join | 8/9/21 - not sure if he wants to join
Out of Program,Anthony's High Tech Auto Center - New Haven,156 Gando Drive,New Haven,CT,06513,New Haven,Full Service,,ST0005037,,2037772260,anthonyshightech2@gmail.com,,,,7/16/21 - Monica said they are not moving forward if her manager has not replied to us - 81 | 7/16/21 - Monica said they are not moving forward if her manager has not replied to us - 81
Out of Program,Aquila Motors,6 Fountain St,New Haven,CT,06515,New Haven,OBD Plus,,,,2033876621,aquilamotors@sbcglobal.net,,,,"on very busy street but not sure if he wants to join, Meinieke 1 mi away, has 6 bays (1 w/no lift), large pkg lot appears full but can dedicate 3 spaces for emissions, waiting room is cluttered and being used for storage, will install monitor | on very busy street but not sure if he wants to join, Meinieke 1 mi away, has 6 bays (1 w/no lift), large pkg lot appears full but can dedicate 3 spaces for emissions, waiting room is cluttered and being used for storage, will install monitor"
