Layer,Station Name,Address,City,State,Zip,County,Service Type,Status,Test Center ID / Station ID,Dealer # / DNR License,Phone,Email,Contact Name,Signed Contract (Y/N),Date of Install,Comments
VIN Only,Daves RV Center,2 Industrial Plaza Road,Danbury,CT,06810,Fairfield,,,CTVIN2097,VIN Ver,2037301744,davesr@davesrvcenter.com,,,,"4/29 - does motor homes only, no boats, mc, trailers, etc"
VIN Only,Furness Brothers Inc,61 Buckley Highway,Stafford Springs,CT,06076,Tolland,,,CTVIN1414,VIN Ver,8606844219,fbimrtruck@outlook.com,,,,
VIN Only,Advanced Wheels,33 Bradley Park Road,East Granby,CT,06026,Hartford,,,CTVIN2622,VIN Ver,8606538064,jim@advancedwheels.com,,,,
VIN Only,Lakewood Auto Painting,1540 North Main Street,Waterbury,CT,06704,New Haven,,,CTVIN6279,"Vol 2,500",2035741176,lakewoodauto007@sbcglobal.net,,,,
VIN Only,Dragone Classic Motorcars Inc,5 Connair Road,Orange,CT,06477,Fairfield,,,CTVIN1598,VIN Ver,2033354643,mannydragone@gmail.com; kim@dragoneclassic.com,,,,
VIN Only,Hilario Truck Center LLC,245 White Street,Danbury,CT,06810,Fairfield,,,CTVIN6474,VIN Ver,2037924200,paul@hilarios.com,,,,
VIN Only,Hilarios Service Center Inc,131 Mount Pleasant Road,Newtown,CT,06470,Fairfield,,,CTVIN4888,VIN Ver,2034261459,paul@hilarios.com,,,,
VIN Only,Top Truck Center Inc,222 Prospect Street,East Hartford,CT,06108,Hartford,,,CTVIN2500,VIN Ver,8602895234,toptc@comcast.net,,,,
VIN Only,MAX BMW Motorcyles,493 Danbury Rd,New Milford,CT,06776,Fairfield,,,CTVIN2586,VIN Ver,(203) 740-1270 ext 1216,liz@maxbmw.com,,,,
VIN Only,Whitehouse Auto Sales,450 Ashford Center Road,Ashford,CT,06278,Windham,,,CTVIN0485,VIN Ver,8604296222,whitehousesales@hotmail.com,,,,
VIN Only,Ryder Truck Rental,99 Murphy Rd,Hartford,CT,06114,Hartford,,,CTVIN6371,Chris Marrero,sta (860) 493-7426 (cell) 203-218-7566,christopher_marrero@ryder.com,,,,12/9 - all set now | 2/4/25 - station advises they misunderstood and want to be a VIN Only and not a Fleet sta 2/19/25 - advised ok to perform VIN Only tests while waiting to sign new contract
VIN Only,Hemlock Hill RV Sales,2123 Meriden Waterbury Tpke,Southington,CT,06489,Hartford,,,CTVIN2373,,8604262843,invoices@hhrvct.com; chrisa@hhrvct.com,,,,"9/29/25 - Geoff to set up tablet, advised will be a few weeks | 1/8/26 - tablet set up,"
VIN Only,Green Light Auto Sales LLC,9 Russell Rd,Bethany,CT,06524,New Haven,,,,,2038882000,glas2000ct@yahoo.com,,,,called ? to sign up and was referred to us. Gage spoke with her and advised we will let her know when VIN only contract has been finalized | 5/5/23 - per Trish still intersted
VIN Only,Nova Automotive,284 Whalley Avenue,New Haven,CT,06511,New Haven,,,,,2038656174,shawnabid@gmail.com,,,,5/1/23 - inquired via website
