Layer,Station Name,Address,City,State,Zip,County,Service Type,Status,Test Center ID / Station ID,Dealer # / DNR License,Phone,Email,Contact Name,Signed Contract (Y/N),Date of Install,Comments
Waiting List,Carplex LLC,74 Woodlawn Rd,Berlin,CT,06037,Hartford,Full Service / CERF,,,U8900,8602255388,carplexauto2025@gmail.com,,,,
Waiting List,Medinas LLC,15 Southwood Drive,Bloomfield,CT,06002,Hartford,OBD/Repair,,,U9029,8606826102,yunielmedina16@yahoo.com,,,,"population in '23 - 21,880, 2 stations now"
Waiting List,1608 STRATFORD AVENUE DEVELOPMENT COMPANY LLC,1780 Stratford Ave,Bridgeport,CT,06607,Fairfield,Full Service,,,U8487,2035565277,ultimatetow@resourcesvc.com,,,,
Waiting List,"Alfa Motors, Inc",28 Huntington Road,Bridgeport,CT,06608,Fairfield,Full Service,,,U6225,(203) 367-9816,,,,,
Waiting List,Coastline Auto,2622 Fairfield Ave,Bridgeport,CT,06605,Fairfield,OBD Plus,,,U9045,2033381575,sales@coastlineauto.net,,,,
Waiting List,Jims Auto Sales,115 Pearl Street,Bridgeport,CT,06608,Fairfield,,,,U0396,2033338797,has no email,,,,
Waiting List,Mario's Body Shop,47 Columbus Place,Bridgeport,CT,06604,Fairfield,OBD Plus,,,U6871,20336663479,help@mariosbody.shop,,,,
Waiting List,Sigma Service Center LLC,1262 State Street,Bridgeport,CT,06605,Fairfield,,,,U7925,(203) 690-1301,,,,,
Waiting List,Spring Replacement Auto & Truck Center,320-360 North Ave,Bridgeport,CT,06606,Fairfield,OBD Plus,,,R5250,2033352138,springco340@gmail.com,,,,
Waiting List,Ultimate Automotive,1780 Stratford Ave,Bridgeport,CT,06607,Fairfield,,,,U8487,(203) 332-9189,,,,,
Waiting List,Automotive Plus,534 Broad St,Bristol,CT,06010,,OBD Plus,,,U9190,8609738368,automotivepluss.llc@gmail.com,,,,
Waiting List,Brookfield Auto Body,330 Candlewood Lake Rd,Brookfield,CT,06804,Fairfield,Full Service / CERF,,,U9154,2037751867,dispatch@lakevilletowing.com,,,,
Waiting List,Gaduns Autobody,212 E Main St,Clinton,CT,06413,Middlesex,VIN Only,,,U8354,8606640056,neroad@sbcglobal.net,,,,
Waiting List,M&M Motors International LLC,333 East Main Street,Clinton,CT,06413,Middlesex,,,,U7727,(860) 664-0446,mandmotorsinfo@gmail.com,,,,"8 bays w/no lift in test bay, has been interested in particpating for 12 yrs, Midas 3/4 mi away, will install window to bay"
Waiting List,Reliable Auto Center,522 Norwich Ave,Colchester,CT,06415,New London,Full Service,,,U6209,8605375272,troy@reliableautocenterllc.com,,,,
Waiting List,AR's General Repair & Used Cars,127 White St,Danbury,CT,06810,Fairfield,OBD or Full Svc,,,,(203) 300-5889,arsusedcarsales@gmail.com,,,,"1/27/22 - still interested 8/3/23 - submitted new application, advised still on list from 2021 and will notify when space isavailable"
Waiting List,Brothers Auto,88 Balmforth Ave,Danbury,CT,06810,Fairfield,Full Service,,,U7471,2037431516,brothersautoales88@gmail.com,,,,
Waiting List,CJ Auto Service LLC,15-17 Taylor St,Danbury,CT,06810,Fairfield,VIN ONLY,,,U9278,2038267263,cjautosale150@gmail.com,,,,
Waiting List,Carlos Auto Repair,9 Great Pasture Rd,Danbury,CT,06810,Fairfield,Full Service,,,R7978,9175866264,carlosm.2006@hotmail.com,,,,
Waiting List,Danbury Tire & Auto,15 Mill Plains Rd,Danbury,CT,06811,Fairfield,Full Service CERF,,,R7726,2037922600,danburytires@gmail.com,,,,
Waiting List,Ingersol Automotive,84 Federal Rd,Danbury,CT,06810,Fairfield,CERF Only,,,,2037310068,josh.matos@ingersollauto.com,,,,
Waiting List,Meagan Auto Truck,95B Beaver Brook Rd,Danbury,CT,06810,Fairfield,Full Service,,,R7685,2039945360,meagantruckrepair@gmail.com,,,,
Waiting List,Royal Wellington Motors,100 Federal Rd,Danbury,CT,06810,Fairfield,Full Service,,,N2833,2037786333,lmconrad@mbofdanbury.com,,,,
Waiting List,The Car Guys Garage,60 Payne Rd,Danbury,CT,06801,Fairfield,OBD Plus CERF,,,U7841,2037301337,thecarguysgaragellc@gmail.com,,,,
Waiting List,Volvo Cars Danbury,106 Newtown Rd,Danbury,CT,06811,Fairfield,OBD Plus,,,N2402,2038268520,melaniesullivan@thepremiercollection.com,,,,
Waiting List,Darien Mobil,211 Post Rd,Darien,CT,06820,Fairfield,OBD Plus,,,in process,8457974064,darienmobil@gmail.com,,,,will send photos w/app once DNR is approved
Waiting List,ACI Auto Group,206 S Main St,East Windsor,CT,06088,Hartford,Full Service,,,U8851,(860) 627-5601,pete@aciautogroup.com,,,,"1/16/24 - returned to wait list after approval of Central A/S, could only allow one sta"
Waiting List,Brothers Auto,140 North Rd,East Windsor,CT,06088,Hartford,OBD Plus,,,U9126,8606231733,brothersautoew@gmail.com,,,,
Waiting List,STS Automotive,15 Newberry rd,East Windsor,CT,06088,Hartford,"OBD Plus, CERF",,,U6350,8603705574,stsautosct@gmail.com,,,,6/15/25 - still interested
Waiting List,Trusted Auto,157 North Rd,East Windsor,CT,06088,Hartford,OBD Plus,,,U8833,8609929022,info@trustedautoct.com,,,,
Waiting List,CarMax Auto Superstore Inc,121 Frontage Road,East Haven,CT,06512,New Haven,Full Service,,,U7219,(804) 747-0422,,,,,
Waiting List,Ernie & Son's,925 Foxon Road,East Haven,CT,06513,New Haven,,,,U7928,(203) 469-6507,,,,,
Waiting List,Mongoose Industries,299 Chapel St,Fair Haven,CT,06513,New Haven,Full Service,,,U9059,2039894433,solutions@mongooseindustry.com,,,,"7/24/24 - received email checking on the status of their application and asked if the shop is actually in Fair Haven does it make a difference. Advised will check and let them know when a spot is available. 7/30 - called to ck on status, advised we do not have a need at this time for another station in that area 8/22 - Marie provided her contact info for future corresponsdence"
Waiting List,Carvana,2269 Post Rd,Fairfield,CT,06824,Fairfield,OBD Plus,,,U9134,4809304869,colin.grace@carvana.com,,,,claim they will be open to the public
Waiting List,Global Leasing,1034 Fairfield Beach Rd,Fairfield,CT,06824,Fairfield,VIN ONLY,,,O6482,,,,,,VIN ONLY
Waiting List,Midas Auto Service Experts,925 Post Rd,Fairfield,CT,06824,Fairfield,OBD Plus,,,R7428,2032598353,midas.fairfield@leedswest.com,,,,
Waiting List,Redline Motor LLC,178 Kings Hwy Cutoff,Fairfield,CT,06824,Fairfield,Full Service,,,U9076,2037790989,kingshwy06824@gmail.com,,,,
Waiting List,Disch Car Sales of Franklin,114 Rte 32,Franklin,CT,06351,New London,Full Svc,,,U8094,8603834750,raydeptulskijr@yahoo.com,,,,Population of Franklin in 2022 - 1892 - currently 1 sta in N Franklin
